02110,NZM,AGC
10104,SGR,CHI
10104,CHI,KHED
10104,KHED,MNI
10104,MNI,PNVL
10104,PNVL,TNA
10104,TNA,DR
10104,DR,CSTM
10111,CSTM,DR
10111,DR,TNA
10111,TNA,PNVL
10111,PNVL,MNI
10111,MNI,KHED
10111,KHED,CHI
10111,CHI,SGR
10111,SGR,RN
10111,RN,VID
10111,VID,RAJP
10111,RAJP,VBW
10111,VBW,KKW
10111,KKW,SNDD
10111,SNDD,KUDL
10111,KUDL,SWV
10111,SWV,PERN
10111,PERN,THVM
10111,THVM,KRMI
10111,KRMI,MAO
10112,MAO,KRMI
10112,KRMI,THVM
10112,THVM,PERN
10112,PERN,SWV
10112,SWV,KUDL
10112,KUDL,SNDD
10112,SNDD,KKW
10112,KKW,VBW
10112,VBW,RAJP
10112,RAJP,VID
10112,VID,RN
10112,RN,SGR
10112,SGR,CHI
10112,CHI,KHED
10112,KHED,MNI
10112,MNI,PNVL
10112,PNVL,TNA
10112,TNA,DR
10112,DR,CSTM
10215,MAO,KAWR
10215,KAWR,BTJL
10215,BTJL,UD
10215,UD,MAJN
10215,MAJN,KGQ
10215,KGQ,CAN
10215,CAN,CLT
10215,CLT,TIR
10215,TIR,SRR
10215,SRR,TCR
10215,TCR,AWY
10215,AWY,ERS
10216,ERS,AWY
10216,AWY,TCR
10216,TCR,SRR
10216,SRR,TIR
10216,TIR,CLT
10216,CLT,CAN
10216,CAN,KGQ
10216,KGQ,MAJN
10216,MAJN,UD
10216,UD,BTJL
10216,BTJL,KAWR
10216,KAWR,MAO
11003,DR,TNA
11003,TNA,PNVL
11003,PNVL,ROHA
11003,ROHA,MNI
11003,MNI,VEER
11003,VEER,KHED
11003,KHED,CHI
11003,CHI,SVX
11003,SVX,AVRD
11003,AVRD,SGR
11003,SGR,RN
11003,RN,ADVI
11003,ADVI,VID
11003,VID,RAJP
11003,RAJP,VBW
11003,VBW,NAN
11003,NAN,KKW
11003,KKW,SNDD
11003,SNDD,KUDL
11003,KUDL,SWV
11004,SWV,KUDL
11004,KUDL,SNDD
11004,SNDD,KKW
11004,KKW,NAN
11004,NAN,VBW
11004,VBW,RAJP
11004,RAJP,VID
11004,VID,ADVI
11004,ADVI,RN
11004,RN,SGR
11004,SGR,AVRD
11004,AVRD,SVX
11004,SVX,CHI
11004,CHI,KHED
11004,KHED,VEER
11004,VEER,MNI
11004,MNI,ROHA
11004,ROHA,PNVL
11004,PNVL,TNA
11004,TNA,DR
11005,DR,KYN
11005,KYN,KJT
11005,KJT,LNL
11005,LNL,PUNE
11005,PUNE,STR
11005,STR,KRD
11005,KRD,TKR
11005,TKR,SLI
11005,SLI,MRJ
11005,MRJ,KUD
11005,KUD,GPB
11005,GPB,BGM
11005,BGM,LD
11005,LD,LWR
11005,LWR,DWR
11005,DWR,UBL
11005,UBL,HVR
11005,HVR,RNR
11005,RNR,HRR
11005,HRR,DVG
11005,DVG,RRB
11005,RRB,DRU
11005,DRU,ASK
11005,ASK,TTR
11005,TTR,TK
11005,TK,YPR
11005,YPR,BAND
11005,BAND,KJM
11005,KJM,BWT
11005,BWT,JTJ
11005,JTJ,KPD
11005,KPD,VLR
11005,VLR,ARV
11005,ARV,PRL
11005,PRL,TNM
11005,TNM,TRK
11005,TRK,VM
11005,VM,PDY
11006,PDY,VM
11006,VM,TRK
11006,TRK,TNM
11006,TNM,PRL
11006,PRL,ARV
11006,ARV,VLR
11006,VLR,KPD
11006,KPD,JTJ
11006,JTJ,BWT
11006,BWT,KJM
11006,KJM,BAND
11006,BAND,YPR
11006,YPR,TK
11006,TK,TTR
11006,TTR,ASK
11006,ASK,DRU
11006,DRU,RRB
11006,RRB,DVG
11006,DVG,HRR
11006,HRR,RNR
11006,RNR,HVR
11006,HVR,UBL
11006,UBL,DWR
11006,DWR,LWR
11006,LWR,LD
11006,LD,BGM
11006,BGM,GPB
11006,GPB,KUD
11006,KUD,MRJ
11006,MRJ,SLI
11006,SLI,TKR
11006,TKR,KRD
11006,KRD,STR
11006,STR,PUNE
11006,PUNE,LNL
11006,LNL,KYN
11006,KYN,DR
11007,CSTM,DR
11007,DR,TNA
11007,TNA,KYN
11007,KYN,NRL
11007,NRL,KJT
11007,KJT,KAD
11007,KAD,LNL
11007,LNL,TGN
11007,TGN,KK
11007,KK,SVJR
11007,SVJR,PUNE
11008,PUNE,SVJR
11008,SVJR,KK
11008,KK,TGN
11008,TGN,LNL
11008,LNL,KAD
11008,KAD,KJT
11008,KJT,KYN
11008,KYN,TNA
11008,TNA,DR
11008,DR,CSTM
11009,CSTM,DR
11009,DR,TNA
11009,TNA,KYN
11009,KYN,KJT
11009,KJT,KAD
11009,KAD,LNL
11009,LNL,CCH
11009,CCH,PMP
11009,PMP,KK
11009,KK,SVJR
11009,SVJR,PUNE
11010,PUNE,SVJR
11010,SVJR,KK
11010,KK,PMP
11010,PMP,CCH
11010,CCH,LNL
11010,LNL,KAD
11010,KAD,KJT
11010,KJT,KYN
11010,KYN,DR
11010,DR,CSTM
11013,LTT,TNA
11013,TNA,KYN
11013,KYN,PUNE
11013,PUNE,KWV
11013,KWV,SUR
11013,SUR,DUD
11013,DUD,GUR
11013,GUR,GR
11013,GR,SDB
11013,SDB,WADI
11013,WADI,YG
11013,YG,KSN
11013,KSN,RC
11013,RC,MALM
11013,MALM,AD
11013,AD,GTL
11013,GTL,GY
11013,GY,KLU
11013,KLU,ATP
11013,ATP,DMM
11013,DMM,SSPN
11013,SSPN,HUP
11013,HUP,BNCE
11013,BNCE,SBC
11013,SBC,BNC
11013,BNC,HSRA
11013,HSRA,DPJ
11013,DPJ,OML
11013,OML,SA
11013,SA,ED
11013,ED,TUP
11013,TUP,CBE
11014,CBE,TUP
11014,TUP,ED
11014,ED,SA
11014,SA,OML
11014,OML,DPJ
11014,DPJ,HSRA
11014,HSRA,SBC
11014,SBC,BNC
11014,BNC,HUP
11014,HUP,SSPN
11014,SSPN,DMM
11014,DMM,ATP
11014,ATP,KLU
11014,KLU,GY
11014,GY,GTL
11014,GTL,AD
11014,AD,MALM
11014,MALM,RC
11014,RC,KSN
11014,KSN,YG
11014,YG,WADI
11014,WADI,SDB
11014,SDB,GR
11014,GR,GUR
11014,GUR,DUD
11014,DUD,SUR
11014,SUR,KWV
11014,KWV,DD
11014,DD,PUNE
11014,PUNE,KYN
11014,KYN,TNA
11014,TNA,LTT
11015,LTT,TNA
11015,TNA,KYN
11015,KYN,KSRA
11015,KSRA,IGP
11015,IGP,DVL
11015,DVL,NK
11015,NK,MMR
11015,MMR,NGN
11015,NGN,CSN
11015,CSN,PC
11015,PC,JL
11015,JL,BSL
11015,BSL,RV
11015,RV,BAU
11015,BAU,NPNR
11015,NPNR,KNW
11015,KNW,KKN
11015,KKN,HD
11015,HD,TBN
11015,TBN,ET
11015,ET,HBD
11015,HBD,MDDP
11015,MDDP,HBJ
11015,HBJ,BPL
11015,BPL,BHS
11015,BHS,BAQ
11015,BAQ,BINA
11015,BINA,LAR
11015,LAR,BAB
11015,BAB,JHS
11015,JHS,CGN
11015,CGN,AIT
11015,AIT,ORAI
11015,ORAI,KPI
11015,KPI,PHN
11015,PHN,BZM
11015,BZM,CNB
11015,CNB,ON
11015,ON,LKO
11015,LKO,BBK
11015,BBK,GD
11015,GD,MUR
11015,MUR,BV
11015,BV,BST
11015,BST,KLD
11015,KLD,GKP
11016,GKP,KLD
11016,KLD,BST
11016,BST,BV
11016,BV,MUR
11016,MUR,GD
11016,GD,BBK
11016,BBK,LKO
11016,LKO,ON
11016,ON,CNB
11016,CNB,BZM
11016,BZM,PHN
11016,PHN,KPI
11016,KPI,ORAI
11016,ORAI,AIT
11016,AIT,CGN
11016,CGN,JHS
11016,JHS,BAB
11016,BAB,LAR
11016,LAR,BINA
11016,BINA,BAQ
11016,BAQ,BHS
11016,BHS,BPL
11016,BPL,HBJ
11016,HBJ,MDDP
11016,MDDP,HBD
11016,HBD,ET
11016,ET,TBN
11016,TBN,HD
11016,HD,KKN
11016,KKN,KNW
11016,KNW,NPNR
11016,NPNR,BAU
11016,BAU,RV
11016,RV,BSL
11016,BSL,JL
11016,JL,PC
11016,PC,CSN
11016,CSN,NGN
11016,NGN,MMR
11016,MMR,NK
11016,NK,DVL
11016,DVL,IGP
11016,IGP,KYN
11016,KYN,TNA
11016,TNA,LTT
11019,CSTM,DR
11019,DR,KYN
11019,KYN,KJT
11019,KJT,LNL
11019,LNL,PUNE
11019,PUNE,DD
11019,DD,SUR
11019,SUR,GR
11019,GR,WADI
11019,WADI,TDU
11019,TDU,BMT
11019,BMT,SC
11019,SC,KZJ
11019,KZJ,WL
11019,WL,MABD
11019,MABD,KMT
11019,KMT,MDR
11019,MDR,BZA
11019,BZA,EE
11019,EE,TDD
11019,TDD,NDD
11019,NDD,RJY
11019,RJY,SLO
11019,SLO,TUNI
11019,TUNI,AKP
11019,AKP,VSKP
11019,VSKP,VZM
11019,VZM,CHE
11019,CHE,PSA
11019,PSA,SPT
11019,SPT,IPM
11019,IPM,BAM
11019,BAM,CAP
11019,CAP,BALU
11019,BALU,KUR
11019,KUR,BBS
11020,BBS,KUR
11020,KUR,BALU
11020,BALU,CAP
11020,CAP,BAM
11020,BAM,IPM
11020,IPM,SPT
11020,SPT,PSA
11020,PSA,CHE
11020,CHE,VZM
11020,VZM,VSKP
11020,VSKP,AKP
11020,AKP,TUNI
11020,TUNI,SLO
11020,SLO,RJY
11020,RJY,NDD
11020,NDD,TDD
11020,TDD,EE
11020,EE,BZA
11020,BZA,MDR
11020,MDR,KMT
11020,KMT,MABD
11020,MABD,WL
11020,WL,KZJ
11020,KZJ,SC
11020,SC,BMT
11020,BMT,TDU
11020,TDU,WADI
11020,WADI,GR
11020,GR,SUR
11020,SUR,DD
11020,DD,PUNE
11020,PUNE,LNL
11020,LNL,KJT
11020,KJT,KYN
11020,KYN,TNA
11020,TNA,DR
11020,DR,CSTM
11021,DR,KYN
11021,KYN,KJT
11021,KJT,LNL
11021,LNL,PUNE
11021,PUNE,STR
11021,STR,KRD
11021,KRD,TKR
11021,TKR,SLI
11021,SLI,MRJ
11021,MRJ,KUD
11021,KUD,GPB
11021,GPB,BGM
11021,BGM,LD
11021,LD,LWR
11021,LWR,DWR
11021,DWR,UBL
11021,UBL,HVR
11021,HVR,RNR
11021,RNR,HRR
11021,HRR,DVG
11021,DVG,RRB
11021,RRB,DRU
11021,DRU,ASK
11021,ASK,TTR
11021,TTR,TK
11021,TK,YPR
11021,YPR,BAND
11021,BAND,HSRA
11021,HSRA,DPJ
11021,DPJ,SA
11021,SA,ED
11021,ED,KRR
11021,KRR,DG
11021,DG,MDU
11021,MDU,VPT
11021,VPT,SRT
11021,SRT,CVP
11021,CVP,MEJ
11021,MEJ,TEN
11022,TEN,MEJ
11022,MEJ,CVP
11022,CVP,SRT
11022,SRT,VPT
11022,VPT,MDU
11022,MDU,DG
11022,DG,KRR
11022,KRR,ED
11022,ED,SA
11022,SA,DPJ
11022,DPJ,HSRA
11022,HSRA,BAND
11022,BAND,YPR
11022,YPR,TK
11022,TK,TTR
11022,TTR,ASK
11022,ASK,DRU
11022,DRU,RRB
11022,RRB,DVG
11022,DVG,HRR
11022,HRR,RNR
11022,RNR,HVR
11022,HVR,UBL
11022,UBL,DWR
11022,DWR,LWR
11022,LWR,LD
11022,LD,BGM
11022,BGM,GPB
11022,GPB,KUD
11022,KUD,MRJ
11022,MRJ,SLI
11022,SLI,TKR
11022,TKR,KRD
11022,KRD,STR
11022,STR,PUNE
11022,PUNE,LNL
11022,LNL,KYN
11022,KYN,DR
11023,CSTM,DR
11023,DR,KYN
11023,KYN,KJT
11023,KJT,KAD
11023,KAD,LNL
11023,LNL,TGN
11023,TGN,DEHR
11023,DEHR,PMP
11023,PMP,KK
11023,KK,SVJR
11023,SVJR,PUNE
11023,PUNE,JJR
11023,JJR,NIRA
11023,NIRA,LNN
11023,LNN,WTR
11023,WTR,STR
11023,STR,KRG
11023,KRG,KRD
11023,KRD,KOV
11023,KOV,BVQ
11023,BVQ,SLI
11023,SLI,MRJ
11023,MRJ,JSP
11023,JSP,HTK
11023,HTK,RKD
11023,RKD,VV
11023,VV,KOP
11024,KOP,VV
11024,VV,RKD
11024,RKD,HTK
11024,HTK,JSP
11024,JSP,MRJ
11024,MRJ,SLI
11024,SLI,BVQ
11024,BVQ,KOV
11024,KOV,KRD
11024,KRD,KRG
11024,KRG,STR
11024,STR,WTR
11024,WTR,LNN
11024,LNN,NIRA
11024,NIRA,JJR
11024,JJR,GPR
11024,GPR,PUNE
11024,PUNE,SVJR
11024,SVJR,KK
11024,KK,PMP
11024,PMP,DEHR
11024,DEHR,TGN
11024,TGN,LNL
11024,LNL,KAD
11024,KAD,KJT
11024,KJT,NRL
11024,NRL,KYN
11024,KYN,TNA
11024,TNA,DR
11024,DR,CSTM
11025,BSL,JL
11025,JL,PC
11025,PC,CSN
11025,CSN,MMR
11025,MMR,NK
11025,NK,DVL
11025,DVL,IGP
11025,IGP,KYN
11025,KYN,PNVL
11025,PNVL,CKHS
11025,CKHS,MHPE
11025,MHPE,CHOK
11025,CHOK,KJT
11025,KJT,LNL
11025,LNL,CCH
11025,CCH,PUNE
11026,PUNE,CCH
11026,CCH,LNL
11026,LNL,KJT
11026,KJT,CHOK
11026,CHOK,MHPE
11026,MHPE,CKHS
11026,CKHS,PNVL
11026,PNVL,KYN
11026,KYN,IGP
11026,IGP,DVL
11026,DVL,NK
11026,NK,MMR
11026,MMR,CSN
11026,CSN,PC
11026,PC,JL
11026,JL,BSL
11027,CSTM,DR
11027,DR,KYN
11027,KYN,KJT
11027,KJT,LNL
11027,LNL,KK
11027,KK,PUNE
11027,PUNE,DD
11027,DD,BGVN
11027,BGVN,JEUR
11027,JEUR,KEM
11027,KEM,KWV
11027,KWV,MA
11027,MA,MO
11027,MO,SUR
11027,SUR,HG
11027,HG,AKOR
11027,AKOR,DUD
11027,DUD,GUR
11027,GUR,GR
11027,GR,SDB
11027,SDB,WADI
11027,WADI,NW
11027,NW,YG
11027,YG,NRPD
11027,NRPD,KSN
11027,KSN,RC
11027,RC,MTU
11027,MTU,MALM
11027,MALM,KO
11027,KO,KGL
11027,KGL,AD
11027,AD,NRR
11027,NRR,GTL
11027,GTL,GY
11027,GY,RLO
11027,RLO,TU
11027,TU,KDP
11027,KDP,MOO
11027,MOO,YA
11027,YA,KKM
11027,KKM,HX
11027,HX,NRE
11027,NRE,RJP
11027,RJP,KOU
11027,KOU,RU
11027,RU,PUT
11027,PUT,TRT
11027,TRT,AJJ
11027,AJJ,TRL
11027,TRL,PER
11027,PER,MAS
11028,MAS,TRL
11028,TRL,AJJ
11028,AJJ,TRT
11028,TRT,PUT
11028,PUT,RU
11028,RU,KOU
11028,KOU,RJP
11028,RJP,NRE
11028,NRE,HX
11028,HX,KKM
11028,KKM,YA
11028,YA,MOO
11028,MOO,KDP
11028,KDP,TU
11028,TU,RLO
11028,RLO,GY
11028,GY,GTL
11028,GTL,NRR
11028,NRR,AD
11028,AD,KGL
11028,KGL,KO
11028,KO,MALM
11028,MALM,MTU
11028,MTU,RC
11028,RC,KSN
11028,KSN,NRPD
11028,NRPD,YG
11028,YG,NW
11028,NW,WADI
11028,WADI,SDB
11028,SDB,GR
11028,GR,GUR
11028,GUR,DUD
11028,DUD,AKOR
11028,AKOR,HG
11028,HG,SUR
11028,SUR,MO
11028,MO,MA
11028,MA,KWV
11028,KWV,KEM
11028,KEM,JEUR
11028,JEUR,BGVN
11028,BGVN,DD
11028,DD,PUNE
11028,PUNE,KK
11028,KK,LNL
11028,LNL,KJT
11028,KJT,KYN
11028,KYN,TNA
11028,TNA,DR
11028,DR,CSTM
11029,CSTM,DR
11029,DR,TNA
11029,TNA,KYN
11029,KYN,NRL
11029,NRL,KJT
11029,KJT,KAD
11029,KAD,LNL
11029,LNL,TGN
11029,TGN,CCH
11029,CCH,KK
11029,KK,SVJR
11029,SVJR,PUNE
11029,PUNE,GPR
11029,GPR,JJR
11029,JJR,NIRA
11029,NIRA,LNN
11029,LNN,WTR
11029,WTR,STR
11029,STR,KRG
11029,KRG,RMP
11029,RMP,TAZ
11029,TAZ,MSR
11029,MSR,SIW
11029,SIW,KRD
11029,KRD,TKR
11029,TKR,KOV
11029,KOV,BVQ
11029,BVQ,SLI
11029,SLI,MRJ
11029,MRJ,JSP
11029,JSP,HTK
11029,HTK,RKD
11029,RKD,VV
11029,VV,KOP
11030,KOP,GRMT
11030,GRMT,VV
11030,VV,RKD
11030,RKD,HTK
11030,HTK,NMGT
11030,NMGT,JSP
11030,JSP,MRJ
11030,MRJ,VRB
11030,VRB,SLI
11030,SLI,BVQ
11030,BVQ,KOV
11030,KOV,TKR
11030,TKR,KRD
11030,KRD,MSR
11030,MSR,TAZ
11030,TAZ,RMP
11030,RMP,KRG
11030,KRG,STR
11030,STR,WTR
11030,WTR,LNN
11030,LNN,NIRA
11030,NIRA,JJR
11030,JJR,GPR
11030,GPR,PUNE
11030,PUNE,SVJR
11030,SVJR,CCH
11030,CCH,TGN
11030,TGN,LNL
11030,LNL,KAD
11030,KAD,KJT
11030,KJT,KYN
11030,KYN,TNA
11030,TNA,DR
11030,DR,CSTM
11033,PUNE,DD
11033,DD,ANG
11033,ANG,BAP
11033,BAP,KPG
11033,KPG,MMR
11033,MMR,BSL
11033,BSL,KNW
11033,KNW,ET
11033,ET,PPI
11033,PPI,NU
11033,NU,JBP
11033,JBP,KTE
11033,KTE,STA
11033,STA,ALD
11033,ALD,ALY
11033,ALY,GYN
11033,GYN,MUV
11033,MUV,BSB
11033,BSB,BCY
11033,BCY,ARJ
11033,ARJ,GCT
11033,GCT,BUI
11033,BUI,CPR
11033,CPR,SEE
11033,SEE,HJP
11033,HJP,MFP
11033,MFP,SPJ
11033,SPJ,LSI
11033,LSI,DBG
11034,DBG,LSI
11034,LSI,SPJ
11034,SPJ,MFP
11034,MFP,HJP
11034,HJP,SEE
11034,SEE,CPR
11034,CPR,BUI
11034,BUI,GCT
11034,GCT,ARJ
11034,ARJ,BCY
11034,BCY,BSB
11034,BSB,MUV
11034,MUV,GYN
11034,GYN,ALY
11034,ALY,ALD
11034,ALD,STA
11034,STA,KTE
11034,KTE,JBP
11034,JBP,NU
11034,NU,PPI
11034,PPI,ET
11034,ET,KNW
11034,KNW,BSL
11034,BSL,MMR
11034,MMR,KPG
11034,KPG,BAP
11034,BAP,ANG
11034,ANG,DD
11034,DD,PUNE
11035,DR,KYN
11035,KYN,KJT
11035,KJT,LNL
11035,LNL,PUNE
11035,PUNE,STR
11035,STR,KRD
11035,KRD,SLI
11035,SLI,MRJ
11035,MRJ,KUD
11035,KUD,GPB
11035,GPB,BGM
11035,BGM,LD
11035,LD,LWR
11035,LWR,DWR
11035,DWR,UBL
11035,UBL,HVR
11035,HVR,RNR
11035,RNR,HRR
11035,HRR,DVG
11035,DVG,RRB
11035,RRB,DRU
11035,DRU,ASK
11035,ASK,HAS
11035,HAS,HLN
11035,HLN,KRNR
11035,KRNR,MYS
11036,MYS,KRNR
11036,KRNR,HLN
11036,HLN,HAS
11036,HAS,ASK
11036,ASK,DRU
11036,DRU,RRB
11036,RRB,DVG
11036,DVG,HRR
11036,HRR,RNR
11036,RNR,HVR
11036,HVR,UBL
11036,UBL,DWR
11036,DWR,LWR
11036,LWR,LD
11036,LD,BGM
11036,BGM,GPB
11036,GPB,KUD
11036,KUD,MRJ
11036,MRJ,SLI
11036,SLI,KRD
11036,KRD,STR
11036,STR,PUNE
11036,PUNE,LNL
11036,LNL,KYN
11036,KYN,DR
11037,PUNE,DD
11037,DD,KPG
11037,KPG,MMR
11037,MMR,JL
11037,JL,BSL
11037,BSL,KNW
11037,KNW,ET
11037,ET,JBP
11037,JBP,KTE
11037,KTE,STA
11037,STA,MKP
11037,MKP,ALD
11037,ALD,BSB
11037,BSB,MAU
11037,MAU,DEOS
11037,DEOS,GKP
11038,GKP,DEOS
11038,DEOS,MAU
11038,MAU,BSB
11038,BSB,ALD
11038,ALD,MKP
11038,MKP,STA
11038,STA,KTE
11038,KTE,JBP
11038,JBP,ET
11038,ET,KNW
11038,KNW,BSL
11038,BSL,JL
11038,JL,MMR
11038,MMR,KPG
11038,KPG,DD
11038,DD,PUNE
11039,KOP,VV
11039,VV,RKD
11039,RKD,HTK
11039,HTK,JSP
11039,JSP,MRJ
11039,MRJ,SLI
11039,SLI,BVQ
11039,BVQ,KOV
11039,KOV,TKR
11039,TKR,BVNR
11039,BVNR,KRD
11039,KRD,MSR
11039,MSR,TAZ
11039,TAZ,RMP
11039,RMP,KRG
11039,KRG,STR
11039,STR,JSV
11039,JSV,WTR
11039,WTR,LNN
11039,LNN,NIRA
11039,NIRA,JJR
11039,JJR,ABLE
11039,ABLE,GPR
11039,GPR,PUNE
11039,PUNE,URI
11039,URI,KDG
11039,KDG,DD
11039,DD,ANG
11039,ANG,BAP
11039,BAP,PB
11039,PB,KPG
11039,KPG,YL
11039,YL,MMR
11039,MMR,NGN
11039,NGN,CSN
11039,CSN,PC
11039,PC,JL
11039,JL,BSL
11039,BSL,BDWD
11039,BDWD,MKU
11039,MKU,NN
11039,NN,JM
11039,JM,SEG
11039,SEG,AK
11039,AK,MZR
11039,MZR,BD
11039,BD,CND
11039,CND,DMN
11039,DMN,PLO
11039,PLO,WR
11039,WR,SEGM
11039,SEGM,TGP
11039,TGP,SNI
11039,SNI,AJNI
11039,AJNI,NGP
11039,NGP,ITR
11039,ITR,KP
11039,KP,BRD
11039,BRD,TMR
11039,TMR,TRO
11039,TRO,G
11039,BSL,RV
11039,RV,BAU
11039,BAU,NPNR
11039,NPNR,KNW
11039,KNW,KKN
11039,KKN,HD
11039,HD,BPF
11039,BPF,ET
11039,ET,SGP
11039,SGP,PPI
11039,PPI,GAR
11039,GAR,KY
11039,KY,NU
11039,NU,SRID
11039,SRID,MML
11039,MML,JBP
11039,JBP,SHR
11039,SHR,KTE
11039,KTE,MYR
11039,MYR,STA
11039,STA,JTW
11039,JTW,MKP
11039,MKP,DBR
11039,DBR,SRJ
11039,SRJ,JSR
11039,JSR,NYN
11039,NYN,ALD
11039,ALD,PRG
11039,PRG,PFM
11039,PFM,SYC
11039,SYC,PLP
11039,PLP,URPR
11039,URPR,JNH
11039,JNH,SQN
11039,SQN,SAW
11039,SAW,MOF
11039,MOF,BOY
11039,BOY,PRF
11039,PRF,KEH
11039,KEH,SWPR
11039,SWPR,BSB
11039,BSB,BCY
11039,BCY,ARJ
11039,ARJ,JKN
11039,JKN,DLR
11039,DLR,MAU
11039,MAU,IAA
11039,IAA,BLTR
11039,BLTR,LRD
11039,LRD,SRU
11039,SRU,BTT
11039,BTT,DEOS
11039,DEOS,GKP
11040,G,TRO
11040,TRO,TMR
11040,TMR,BRD
11040,BRD,KP
11040,KP,ITR
11040,ITR,NGP
11040,NGP,AJNI
11040,AJNI,SEGM
11040,SEGM,WR
11040,WR,PLO
11040,PLO,DMN
11040,DMN,CND
11040,CND,BD
11040,BD,MZR
11040,MZR,AK
11040,AK,SEG
11040,SEG,JM
11040,JM,NN
11040,NN,MKU
11040,MKU,BDWD
11040,BDWD,VNA
11040,VNA,BSL
11040,BSL,JL
11040,JL,PC
11040,PC,CSN
11040,CSN,NGN
11040,NGN,MMR
11040,MMR,YL
11040,YL,KPG
11040,KPG,PB
11040,PB,BAP
11040,BAP,ANG
11040,ANG,DD
11040,DD,KDG
11040,KDG,URI
11040,URI,PUNE
11040,PUNE,GPR
11040,GPR,JJR
11040,JJR,NIRA
11040,NIRA,LNN
11040,LNN,WTR
11040,WTR,JSV
11040,JSV,STR
11040,STR,KRG
11040,KRG,RMP
11040,RMP,TAZ
11040,TAZ,MSR
11040,MSR,KRD
11040,KRD,BVNR
11040,BVNR,TKR
11040,TKR,KOV
11040,KOV,BVQ
11040,BVQ,SLI
11040,SLI,MRJ
11040,MRJ,JSP
11040,JSP,HTK
11040,HTK,RKD
11040,RKD,VV
11040,VV,KOP
11040,DD,BGVN
11040,BGVN,JEUR
11040,JEUR,KWV
11040,KWV,MO
11040,MO,SUR
11041,CSTM,DR
11041,DR,TNA
11041,TNA,KYN
11041,KYN,KJT
11041,KJT,LNL
11041,LNL,KK
11041,KK,PUNE
11041,PUNE,DD
11041,DD,KWV
11041,KWV,SUR
11041,SUR,GR
11041,GR,SDB
11041,SDB,WADI
11041,WADI,YG
11041,YG,KSN
11041,KSN,RC
11041,RC,MALM
11041,MALM,AD
11041,AD,GTL
11041,GTL,GY
11041,GY,TU
11041,TU,KDP
11041,KDP,MOO
11041,MOO,YA
11041,YA,KKM
11041,KKM,HX
11041,HX,NRE
11041,NRE,RJP
11041,RJP,KOU
11041,KOU,RU
11041,RU,PUT
11041,PUT,TRT
11041,TRT,AJJ
11041,AJJ,PER
11041,PER,MAS
11042,MAS,AJJ
11042,AJJ,TRT
11042,TRT,PUT
